,Class.vendor_0,Class.OSfamily_0,Class.OSgen_0,Class.device_0,SEQ.SP_0,SEQ.GCD_0,SEQ.ISR_0,SEQ.TI_0,SEQ.TI_1,SEQ.CI_0,SEQ.CI_1,SEQ.II_0,SEQ.II_1,SEQ.SS_0,SEQ.TS_0,SEQ.TS_1,OPS.O1_0,OPS.O1_1,OPS.O1_2,OPS.O1_3,OPS.O1_4,OPS.O1_5,OPS.O1_6,OPS.O1_7,OPS.O1_8,OPS.O2_0,OPS.O2_1,OPS.O2_2,OPS.O2_3,OPS.O2_4,OPS.O2_5,OPS.O2_6,OPS.O2_7,OPS.O2_8,OPS.O3_0,OPS.O3_1,OPS.O3_2,OPS.O3_3,OPS.O3_4,OPS.O3_5,OPS.O3_6,OPS.O3_7,OPS.O3_8,OPS.O3_9,OPS.O3_10,OPS.O3_11,OPS.O4_0,OPS.O4_1,OPS.O4_2,OPS.O4_3,OPS.O4_4,OPS.O4_5,OPS.O4_6,OPS.O4_7,OPS.O4_8,OPS.O5_0,OPS.O5_1,OPS.O5_2,OPS.O5_3,OPS.O5_4,OPS.O5_5,OPS.O5_6,OPS.O5_7,OPS.O5_8,OPS.O6_0,OPS.O6_1,OPS.O6_2,OPS.O6_3,OPS.O6_4,OPS.O6_5,OPS.O6_6,WIN.W1_0,WIN.W2_0,WIN.W3_0,WIN.W4_0,WIN.W5_0,WIN.W6_0,ECN.R_0,ECN.DF_0,ECN.T_0,ECN.TG_0,ECN.W_0,ECN.O_0,ECN.O_1,ECN.O_2,ECN.O_3,ECN.O_4,ECN.O_5,ECN.CC_0,ECN.Q_0,ECN.Q_1,T1.R_0,T1.DF_0,T1.T_0,T1.TG_0,T1.S_0,T1.A_0,T1.F_0,T1.F_1,T1.F_2,T1.F_3,T1.F_4,T1.F_5,T1.F_6,T1.RD_0,T1.Q_0,T1.Q_1,T2.R_0,T2.DF_0,T2.T_0,T2.TG_0,T2.W_0,T2.S_0,T2.A_0,T2.F_0,T2.F_1,T2.F_2,T2.F_3,T2.F_4,T2.F_5,T2.F_6,T2.O_0,T2.O_1,T2.O_2,T2.O_3,T2.O_4,T2.RD_0,T2.Q_0,T2.Q_1,T3.R_0,T3.DF_0,T3.T_0,T3.TG_0,T3.W_0,T3.S_0,T3.A_0,T3.F_0,T3.F_1,T3.F_2,T3.F_3,T3.F_4,T3.F_5,T3.F_6,T3.O_0,T3.O_1,T3.O_2,T3.O_3,T3.O_4,T3.O_5,T3.O_6,T3.O_7,T3.O_8,T3.RD_0,T3.Q_0,T3.Q_1,T4.R_0,T4.DF_0,T4.T_0,T4.TG_0,T4.W_0,T4.S_0,T4.A_0,T4.F_0,T4.F_1,T4.F_2,T4.F_3,T4.F_4,T4.F_5,T4.F_6,T4.O_0,T4.O_1,T4.O_2,T4.O_3,T4.O_4,T4.RD_0,T4.Q_0,T4.Q_1,T5.R_0,T5.DF_0,T5.T_0,T5.TG_0,T5.W_0,T5.S_0,T5.A_0,T5.F_0,T5.F_1,T5.F_2,T5.F_3,T5.F_4,T5.F_5,T5.F_6,T5.O_0,T5.O_1,T5.O_2,T5.O_3,T5.O_4,T5.RD_0,T5.Q_0,T5.Q_1,T6.R_0,T6.DF_0,T6.T_0,T6.TG_0,T6.W_0,T6.S_0,T6.A_0,T6.F_0,T6.F_1,T6.F_2,T6.F_3,T6.F_4,T6.F_5,T6.F_6,T6.O_0,T6.O_1,T6.O_2,T6.O_3,T6.O_4,T6.RD_0,T6.Q_0,T6.Q_1,T7.R_0,T7.DF_0,T7.T_0,T7.TG_0,T7.W_0,T7.S_0,T7.A_0,T7.F_0,T7.F_1,T7.F_2,T7.F_3,T7.F_4,T7.F_5,T7.F_6,T7.O_0,T7.O_1,T7.O_2,T7.O_3,T7.O_4,T7.RD_0,T7.Q_0,T7.Q_1,U1.R_0,U1.DF_0,U1.T_0,U1.TG_0,U1.IPL_0,U1.UN_0,U1.RIPL_0,U1.RIPL_1,U1.RID_0,U1.RID_1,U1.RIPCK_0,U1.RUCK_0,U1.RUCK_1,U1.RUD_0,IE.R_0,IE.DFI_0,IE.T_0,IE.TG_0,IE.CD_0,IE.CD_1
0,Linux,Linux,,WAP,257,6,255,I,-1,null,-1,I,-1,S,U,-1,M,-1,-1,-1,-1,-1,-1,-1,-1,M,-1,-1,-1,-1,-1,-1,-1,-1,M,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,M,-1,-1,-1,-1,-1,-1,-1,-1,M,-1,-1,-1,-1,-1,-1,-1,-1,M,-1,-1,-1,-1,-1,-1,64240,64240,64240,64240,64240,64240,Y,N,128,128,64240,M,-1,-1,-1,-1,-1,N,null,null,Y,N,123,128,O,S+,null,null,A,null,null,S,null,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,Y,N,130,128,64240,O,S+,null,null,A,null,null,S,null,M,-1,-1,-1,-1,-1,-1,-1,-1,0,null,null,Y,N,126,128,32767,A,Z,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,124,128,64240,O,O,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,129,128,32767,A,Z,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,N,null,-1,-1,-1,-1,null,-1,null,-1,null,null,-1,null,null,N,123,128,S,-1
1,Linux,Linux,2.4.X,specialized,188,1,204,Z,-1,Z,-1,I,-1,null,null,7,M,S,T,N,W,-1,-1,-1,-1,M,S,T,N,W,-1,-1,-1,-1,M,N,N,T,N,W,-1,-1,-1,-1,-1,-1,M,S,T,N,W,-1,-1,-1,-1,M,S,T,N,W,-1,-1,-1,-1,M,S,T,-1,-1,-1,-1,1448,1448,1448,1448,1448,1448,Y,Y,63,64,1460,M,N,N,S,N,W,N,null,null,Y,Y,61,64,O,S+,null,null,A,null,null,S,null,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,Y,Y,60,64,1448,O,S+,null,null,A,null,null,S,null,M,S,T,N,W,-1,-1,-1,-1,0,null,null,Y,Y,68,64,0,A,Z,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,Y,65,64,0,Z,S+,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,Y,64,64,0,A,Z,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,Y,62,64,0,Z,S+,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,null,N,67,64,356,0,G,-1,G,-1,G,G,-1,G,null,N,65,64,S,-1
2,Linux,Linux,2.6.X,specialized,5,64001,154,I,-1,I,-1,I,-1,S,U,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,M,N,W,-1,-1,-1,-1,-1,-1,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,-1,-1,-1,65535,65535,65535,65535,65535,65535,Y,Y,61,64,65535,N,N,M,S,N,W,N,null,null,Y,Y,64,64,O,S+,null,null,A,null,null,S,null,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,-1,-1,-1,-1,null,null,Y,N,253,255,0,A,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,250,255,0,Z,S+,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,259,255,0,A,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,251,255,0,Z,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,null,N,62,64,312,0,G,-1,G,-1,G,G,-1,G,null,S,59,64,Z,-1
3,Linux,Linux,2.6.X,specialized,0,128002,152,I,-1,I,-1,I,-1,S,U,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,M,N,W,-1,-1,-1,-1,-1,-1,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,-1,-1,-1,65535,65535,65535,65535,65535,65535,Y,Y,66,64,65535,N,N,M,S,N,W,N,null,null,Y,Y,65,64,O,S+,null,null,A,null,null,S,null,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,-1,-1,-1,-1,null,null,Y,N,252,255,0,A,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,258,255,0,Z,S+,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,252,255,0,A,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,257,255,0,Z,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,null,N,65,64,312,0,G,-1,G,-1,G,G,-1,G,null,S,68,64,Z,-1
4,Linux,Linux,2.6.X,specialized,1,192003,150,I,-1,I,-1,I,-1,S,U,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,M,N,W,-1,-1,-1,-1,-1,-1,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,-1,-1,-1,65535,65535,65535,65535,65535,65535,Y,Y,64,64,65535,N,N,M,S,N,W,N,null,null,Y,Y,65,64,O,S+,null,null,A,null,null,S,null,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,-1,-1,-1,-1,null,null,Y,N,254,255,0,A,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,252,255,0,Z,S+,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,258,255,0,A,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,252,255,0,Z,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,null,N,61,64,312,0,G,-1,G,-1,G,G,-1,G,null,S,67,64,Z,-1
5,Linux,Linux,2.6.X,specialized,2,256004,159,I,-1,I,-1,I,-1,S,U,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,M,N,W,-1,-1,-1,-1,-1,-1,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,-1,-1,-1,65535,65535,65535,65535,65535,65535,Y,Y,66,64,65535,N,N,M,S,N,W,N,null,null,Y,Y,66,64,O,S+,null,null,A,null,null,S,null,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,-1,-1,-1,-1,null,null,Y,N,255,255,0,A,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,258,255,0,Z,S+,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,252,255,0,A,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,257,255,0,Z,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,null,N,61,64,312,0,G,-1,G,-1,G,G,-1,G,null,S,62,64,Z,-1
6,Linux,Linux,2.6.X,specialized,4,320005,152,I,-1,I,-1,I,-1,S,U,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,M,N,W,-1,-1,-1,-1,-1,-1,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,N,W,-1,-1,-1,N,N,M,S,-1,-1,-1,65535,65535,65535,65535,65535,65535,Y,Y,67,64,65535,N,N,M,S,N,W,N,null,null,Y,Y,69,64,O,S+,null,null,A,null,null,S,null,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,-1,-1,-1,-1,null,null,Y,N,254,255,0,A,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,255,255,0,Z,S+,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,256,255,0,A,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,N,260,255,0,Z,S+,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,null,N,59,64,312,0,G,-1,G,-1,G,G,-1,G,null,S,61,64,Z,-1
7,Linux,Linux,2.4.X,PBX,204,2,213,Z,-1,null,-1,I,-1,null,U,-1,M,N,N,S,N,W,-1,-1,-1,M,N,N,S,N,W,-1,-1,-1,M,N,W,-1,-1,-1,-1,-1,-1,-1,-1,-1,M,N,N,S,N,W,-1,-1,-1,M,N,N,S,N,W,-1,-1,-1,M,N,N,S,-1,-1,-1,5840,5840,5840,5840,5840,5840,Y,Y,60,64,5840,M,N,N,S,N,W,N,null,null,Y,Y,64,64,O,S+,null,null,A,null,null,S,null,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,Y,Y,68,64,5840,O,S+,null,null,A,null,null,S,null,M,N,N,S,N,W,-1,-1,-1,0,null,null,Y,Y,253,255,0,A,Z,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,Y,258,255,0,Z,S+,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,Y,255,255,0,A,Z,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,Y,259,255,0,Z,S+,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,null,N,251,255,356,0,G,-1,G,-1,G,G,-1,G,null,N,258,255,S,-1
8,Linux,Linux,2.6.X,generalpurpose,198,2,196,I,-1,Z,-1,I,-1,S,U,-1,M,N,N,S,N,W,-1,-1,-1,M,N,N,S,N,W,-1,-1,-1,M,N,W,-1,-1,-1,-1,-1,-1,-1,-1,-1,M,N,N,S,N,W,-1,-1,-1,M,N,N,S,N,W,-1,-1,-1,M,N,N,S,-1,-1,-1,5840,5840,5840,5840,5840,5840,Y,N,64,64,5840,M,N,N,S,N,W,N,null,null,Y,N,68,64,O,S+,null,null,A,null,null,S,null,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,Y,N,64,64,5840,O,S+,null,null,A,null,null,S,null,M,N,N,S,N,W,-1,-1,-1,0,null,null,Y,Y,68,64,0,A,Z,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,Y,69,64,0,Z,S+,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,Y,64,64,0,A,Z,null,null,null,null,R,null,null,null,-1,-1,-1,-1,0,null,null,Y,Y,69,64,0,Z,S+,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,null,N,69,64,356,0,G,-1,G,-1,G,G,-1,G,null,N,69,64,S,-1
9,NetBSD,BSD,6.X,generalpurpose,218,6,221,Z,-1,null,-1,I,-1,null,null,-1,M,N,W,N,N,T,S,N,N,M,N,W,N,N,T,S,N,N,M,N,W,N,N,T,-1,-1,-1,-1,-1,-1,M,N,W,N,N,T,S,N,N,M,N,W,N,N,T,S,N,N,M,N,N,T,S,N,N,32768,32768,32768,32768,32768,32768,Y,Y,59,64,32768,M,N,W,S,N,N,N,null,null,Y,Y,63,64,O,S+,null,null,A,null,null,S,null,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,Y,Y,68,64,32768,O,S+,null,null,A,null,null,S,null,M,N,W,N,N,T,S,N,N,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,Y,N,64,64,0,Z,S+,null,null,A,null,R,null,null,null,-1,-1,-1,-1,0,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,N,null,-1,-1,-1,null,null,null,null,null,null,null,null,null,null,-1,-1,-1,-1,-1,null,null,null,N,259,255,56,0,G,-1,G,-1,G,G,-1,G,null,N,255,255,S,-1
